date,code,side,amount,cost
2025-06-24,600228,sell,88281.00954941787,291.32733151307895
2025-06-24,002862,sell,68602.48342165248,226.38819529145317
2025-06-24,603261,sell,79499.7332971474,262.3491198805864
2025-06-24,300477,sell,82793.77604537281,273.21946094973026
2025-06-24,000736,sell,76431.61323225491,252.2243236664412
2025-06-24,300052,sell,72493.04437038372,239.22704642226628
2025-06-24,834950,sell,75772.61073405888,250.0496154223943
2025-06-24,002514,sell,81037.29296728146,267.4230667920288
2025-06-24,000504,sell,95109.82594529065,313.86242561945915
2025-06-24,002581,sell,83161.12909086174,274.4317259998437
2025-06-24,300716,sell,68773.06695535057,226.95112095265688
2025-06-24,600355,sell,78678.29594955016,259.6383766335155
2025-06-24,300093,sell,94127.8522450982,310.6219124088241
2025-06-24,002231,sell,66736.05460006489,220.22898018021414
2025-06-24,832023,sell,67108.41294007309,221.45776270224118
2025-06-24,002076,sell,67571.94053646972,222.98740377035006
2025-06-24,300472,sell,64541.88402152269,212.98821727102487
2025-06-24,603398,buy,75631.81242864962,173.9531685858941
2025-06-24,835305,buy,75631.81242864962,173.9531685858941
2025-06-24,301550,buy,75631.81242864962,173.9531685858941
2025-06-24,688152,buy,75631.81242864962,173.9531685858941
2025-06-24,600387,buy,75631.81242864962,173.9531685858941
2025-06-24,301255,buy,75631.81242864962,173.9531685858941
2025-06-24,837663,buy,75631.81242864962,173.9531685858941
2025-06-24,002743,buy,75631.81242864962,173.9531685858941
2025-06-24,836239,buy,75631.81242864962,173.9531685858941
2025-06-24,603499,buy,75631.81242864962,173.9531685858941
2025-06-24,833533,buy,75631.81242864962,173.9531685858941
2025-06-24,834765,buy,75631.81242864962,173.9531685858941
2025-06-24,001202,buy,75631.81242864962,173.9531685858941
2025-06-24,603928,buy,75631.81242864962,173.9531685858941
2025-06-24,603389,buy,75631.81242864962,173.9531685858941
2025-06-24,688372,buy,75631.81242864962,173.9531685858941
2025-06-24,600480,buy,75631.81242864962,173.9531685858941
2025-06-24,600650,buy,75631.81242864962,173.9531685858941
2025-06-24,002703,buy,75631.81242864962,173.9531685858941
2025-07-22,835305,sell,142705.02219316785,470.9265732374539
2025-07-22,688152,sell,72210.53070383963,238.29475132267078
2025-07-22,837663,sell,72460.74366658097,239.1204540997172
2025-07-22,002743,sell,79438.78285291046,262.14798341460454
2025-07-22,836239,sell,73112.15182580733,241.2701010251642
2025-07-22,603499,sell,77079.77310054465,254.36325123179736
2025-07-22,839680,sell,81691.82067734622,269.5830082352425
2025-07-22,001202,sell,74895.32286941938,247.15456546908396
2025-07-22,603389,sell,101091.4625291982,333.601826346354
2025-07-22,688372,sell,73564.60243819216,242.76318804603412
2025-07-22,600650,sell,91127.11058476321,300.7194649297186
2025-07-22,603398,sell,70385.67515036177,232.27272799619385
2025-07-22,301550,sell,83976.22976894263,277.12155823751067
2025-07-22,600387,sell,79978.46831535362,263.92894544066695
2025-07-22,301255,sell,75631.81242864962,249.58498101454373
2025-07-22,833533,sell,69274.700150672,228.60651049721758
2025-07-22,834765,sell,71434.7555730239,235.73469339097886
2025-07-22,603928,sell,63591.956073760586,209.85345504340992
2025-07-22,600480,sell,75253.96823666635,248.33809518099895
2025-07-22,002703,sell,69747.53865654196,230.16687756658848
2025-07-22,003001,buy,79485.98548627403,182.81776661843028
2025-07-22,001360,buy,79485.98548627403,182.81776661843028
2025-07-22,002246,buy,79485.98548627403,182.81776661843028
2025-07-22,605033,buy,79485.98548627403,182.81776661843028
2025-07-22,688583,buy,79485.98548627403,182.81776661843028
2025-07-22,000903,buy,79485.98548627403,182.81776661843028
2025-07-22,000627,buy,79485.98548627403,182.81776661843028
2025-07-22,301501,buy,79485.98548627403,182.81776661843028
2025-07-22,002827,buy,79485.98548627403,182.81776661843028
2025-07-22,603843,buy,79485.98548627403,182.81776661843028
2025-07-22,300564,buy,79485.98548627403,182.81776661843028
2025-07-22,603966,buy,79485.98548627403,182.81776661843028
2025-07-22,688096,buy,79485.98548627403,182.81776661843028
2025-07-22,600629,buy,79485.98548627403,182.81776661843028
2025-07-22,600801,buy,79485.98548627403,182.81776661843028
2025-07-22,002037,buy,79485.98548627403,182.81776661843028
2025-07-22,838810,buy,79485.98548627403,182.81776661843028
2025-07-22,605133,buy,79485.98548627403,182.81776661843028
2025-07-22,600326,buy,79485.98548627403,182.81776661843028
2025-07-22,600678,buy,79485.98548627403,182.81776661843028
2025-08-19,002246,sell,76800.37730292538,253.44124509965374
2025-08-19,301501,sell,81670.77206745194,269.51354782259136
2025-08-19,002827,sell,69660.48406836785,229.8795974256139
2025-08-19,300564,sell,56748.48424449528,187.2699980068344
2025-08-19,688096,sell,69840.33213803096,230.47309605550217
2025-08-19,600801,sell,70963.11892323889,234.17829244668832
2025-08-19,600326,sell,100308.19658620779,331.01704873448574
2025-08-19,003001,sell,60458.947540393485,199.5145268832985
2025-08-19,001360,sell,61010.65777218821,201.3351706482211
2025-08-19,605033,sell,66810.27407072666,220.473904433398
2025-08-19,688583,sell,83079.72166095732,274.16308148115917
2025-08-19,000903,sell,78476.63963882926,258.9729108081366
2025-08-19,000627,sell,62775.86353745506,207.1603496736017
2025-08-19,603843,sell,69074.08323407843,227.9444746724588
2025-08-19,603966,sell,69905.63731335611,230.68860313407518
2025-08-19,600629,sell,96681.7866552076,319.0498959621851
2025-08-19,002037,sell,73201.04709898726,241.56345542665795
2025-08-19,838810,sell,81316.57181868519,268.3446870016611
2025-08-19,605133,sell,81622.95528894415,269.3557524535157
2025-08-19,600678,sell,74923.56120724128,247.24775198389622
2025-08-19,002255,buy,73851.56750839451,169.85860526930736
2025-08-19,600200,buy,73851.56750839451,169.85860526930736
2025-08-19,002355,buy,73851.56750839451,169.85860526930736
2025-08-19,300651,buy,73851.56750839451,169.85860526930736
2025-08-19,300081,buy,73851.56750839451,169.85860526930736
2025-08-19,301259,buy,73851.56750839451,169.85860526930736
2025-08-19,688531,buy,73851.56750839451,169.85860526930736
2025-08-19,600590,buy,73851.56750839451,169.85860526930736
2025-08-19,002103,buy,73851.56750839451,169.85860526930736
2025-08-19,300225,buy,73851.56750839451,169.85860526930736
2025-08-19,300781,buy,73851.56750839451,169.85860526930736
2025-08-19,000615,buy,73851.56750839451,169.85860526930736
2025-08-19,603696,buy,73851.56750839451,169.85860526930736
2025-08-19,003019,buy,73851.56750839451,169.85860526930736
2025-08-19,600360,buy,73851.56750839451,169.85860526930736
2025-08-19,002231,buy,73851.56750839451,169.85860526930736
2025-08-19,603377,buy,73851.56750839451,169.85860526930736
2025-08-19,603730,buy,73851.56750839451,169.85860526930736
2025-08-19,600029,buy,73851.56750839451,169.85860526930736
2025-08-19,300078,buy,73851.56750839451,169.85860526930736
2025-09-16,002255,sell,69370.68588428965,228.92326341815584
