,strategy,benchmark
2025-06-30,1304787.9835056996,1592013.5679643764
2025-07-01,1288140.8623972605,1597881.1692139362
2025-07-02,1301754.4382411537,1590645.502634636
2025-07-03,1294242.6184253038,1599578.394378762
2025-07-04,1408677.9149477514,1585347.8554758776
2025-07-07,1252327.1688522438,1594503.9847017557
2025-07-08,1262070.2356377298,1613131.597959479
2025-07-09,1253178.968081774,1610114.4136122006
2025-07-10,1160509.9895343732,1613769.5502716512
2025-07-11,1255203.5518535543,1619579.713614831
2025-07-14,1435520.39586536,1628037.0222398806
2025-07-15,1457378.6534113418,1615041.8415414165
2025-07-16,1428307.357881806,1623802.7390732395
2025-07-17,1342655.914514282,1637961.875147046
2025-07-18,1337957.239724143,1641477.0050334772
2025-07-21,1447800.648068464,1663291.3356984863
2025-07-22,1432710.5389372406,1669699.7364999952
2025-07-23,1589728.1387294543,1658162.535457536
2025-07-24,1579931.3457081623,1678907.00219337
2025-07-25,1528891.324386767,1681562.9242976897
2025-07-28,1515791.6696979448,1689538.6076710983
2025-07-29,1530860.069604989,1693498.9610316614
2025-07-30,1499484.4473712847,1685127.3823862416
2025-07-31,1486554.2207066945,1667308.4900502416
2025-08-01,1463628.2798011715,1675430.3588946427
2025-08-04,1467332.2093983025,1694889.382748437
2025-08-05,1416166.3946143067,1709580.1492582269
2025-08-06,1409921.115768482,1723642.9196733446
2025-08-07,1401192.4722158941,1724540.5493040136
2025-08-08,1427604.96526958,1723937.8598594943
2025-08-11,1438975.2045755505,1748532.088084806
2025-08-12,1420793.1255885472,1748406.6154058152
2025-08-13,1416663.9192576092,1759961.3089780014
2025-08-14,1381339.8501652575,1728833.4730985845
2025-08-15,1396611.2178806837,1760047.1781702715
2025-08-18,1416563.6444660118,1789386.0400005581
2025-08-19,1419714.5668929012,1799097.7029441304
2025-08-20,1477039.1816762025,1813090.099212609
2025-08-21,1484826.212839487,1807875.7174852297
2025-08-22,1527059.1817819993,1819706.3612792902
2025-08-25,1537802.1946885884,1838358.3478246918
2025-08-26,1546510.6582785272,1842808.1968545073
2025-08-27,1520791.5639701956,1799224.1420147093
2025-08-28,1511412.4490013747,1810817.1519139493
2025-08-29,1486633.8252661512,1807320.7769248313
2025-09-01,1498198.1826719763,1824749.1184222747
2025-09-02,1481415.0912338262,1797634.9503895682
2025-09-03,1445354.5938088722,1764164.940556656
2025-09-04,1440661.0425479957,1750880.295740757
2025-09-05,1455612.5865153135,1793534.8214782171
2025-09-08,1465571.7858416755,1816507.1352326109
2025-09-09,1448167.3543340187,1798528.2724269144
2025-09-10,1463950.7018608684,1801048.5318406979
2025-09-11,1474739.4931660867,1828263.9945712555
2025-09-12,1464167.190942421,1827315.593290002
2025-09-15,1457356.9239994772,1825665.2212896768
2025-09-16,1469546.0624414561,1845057.9923884717
2025-09-17,1456044.602516863,1851811.4144078982
2025-09-18,1476898.871021818,1827457.6276928936
2025-09-19,1457673.1982779517,1817647.4679751787
2025-09-22,1441248.2062202294,1818953.1377998046
2025-09-23,1445883.6334946556,1795428.3225091035
2025-09-24,1441202.5000677034,1823522.3410310366
2025-09-25,1419048.9734585371,1814229.3233760702
2025-09-26,1406415.0919749553,1799505.7314054556
2025-09-29,1288676.5196123873,1816162.005077726
2025-09-30,1357062.6943618904,1824567.832915484
2025-10-09,1259363.1566371801,1838372.250491381
2025-10-10,1247977.3932842084,1831788.1304330803
2025-10-13,1257066.2882228363,1826028.7574827804
2025-10-14,1239287.705105232,1805371.777851014
2025-10-15,1245588.266276787,1831145.3170194705
2025-10-16,1340453.4532166256,1813283.0782683583
2025-10-17,1322602.8124699588,1772498.2922155908
2025-10-20,1317249.1892884783,1795013.1682110052
2025-10-21,1316365.192163157,1824401.0484462883
2025-10-22,1327184.5919174373,1821468.4839331608
2025-10-23,1368408.350592902,1824975.875792911
2025-10-24,1368031.650766342,1837203.5372218448
2025-10-27,1384827.2426067241,1851822.975671738
2025-10-28,1383967.456189248,1852892.1400826224
2025-10-29,1367167.0930451248,1858158.7066355748
2025-10-30,1345121.3216480825,1838010.4666530858
2025-10-31,1367150.7903603106,1853933.685453236
2025-11-03,1408646.0476198706,1868771.0208337961
2025-11-04,1411956.0457162117,1855456.1908511324
2025-11-05,1421389.0823947883,1868393.5918173795
2025-11-06,1406612.4067698717,1877841.7242480998
2025-11-07,1400122.7918982592,1875475.719234576
2025-11-10,1431737.597272998,1888606.8492257278
2025-11-11,1437690.3507973123,1893134.7507159833
2025-11-12,1438937.6116791114,1884219.1503278574
2025-11-13,1447420.2966977195,1905170.7318613725
2025-11-14,1459209.039256735,1898256.0744203653
2025-11-17,1475886.4246810346,1903056.2114555377
2025-11-18,1450196.497339426,1882193.5916669099
2025-11-19,1426330.6364484604,1860152.6016566588
2025-11-20,1393857.737465702,1846470.755638387
2025-11-21,1350544.3179000597,1777784.6609664317
2025-11-24,1382262.6152466028,1804319.2851032552
2025-11-25,1424410.909383881,1829056.5864223992
2025-11-26,1408879.1545916041,1822990.1690560733
2025-11-27,1420967.6084980068,1828692.4860821175
2025-11-28,1438644.8867967066,1850941.0766801038
2025-12-01,1434943.555720703,1862408.2385294447
2025-12-02,1431529.905259769,1852905.617104242
2025-12-03,1404249.7700035525,1838898.594711045
2025-12-04,1368119.981133624,1824940.0081428867
2025-12-05,1385424.070925823,1850471.6800452906
2025-12-08,1394137.9657342085,1867415.7312521185
2025-12-09,1397374.6968690476,1854848.3680790039
2025-12-10,1412929.4273324825,1856154.3665770637
2025-12-11,1382789.5942830343,1825503.0315045088
2025-12-12,1362830.2427426414,1830570.8039130163
2025-12-15,1365645.159745768,1826743.1522451576
2025-12-16,1350434.9966874875,1796796.2884675812
2025-12-17,1343563.9657576089,1810971.9970407446
2025-12-18,1348253.5656736596,1815807.6286672845
2025-12-19,1364949.6157960426,1842287.4654176685
2025-12-22,1410670.8305607792,1854330.6475095276
2025-12-23,1388473.5511654192,1844843.842850983
2025-12-24,1421388.035749433,1867945.0853955813
2025-12-25,1450356.0411167857,1886713.7613995047
2025-12-26,1383793.7394972038,1886528.149643386
2025-12-29,1470737.9308231003,1883595.1296255242
2025-12-30,1337428.1684033927,1879051.1233655028
2025-12-31,1323198.0898730215,1881746.9310596301
2026-01-05,1355911.4552426538,1913082.405140394
2026-01-06,1505364.9592293892,1937373.391931015
2026-01-07,1511345.4428681764,1942021.042489469
2026-01-08,1536673.3830200913,1962787.4549085565
2026-01-09,1536251.2127124136,1989730.6830844448
2026-01-12,1556253.0244516446,2031892.4222314432
2026-01-13,1485871.6043261993,2008603.58384584
2026-01-14,1556084.5399648463,2021791.5846073695
2026-01-15,1520648.9892025054,2013605.9764284403
2026-01-16,1521602.150042878,2012594.9825214793
2026-01-19,1483452.6799836068,2032507.4248170073
2026-01-20,1549064.9391240743,2023495.2844615036
2026-01-21,1528568.9844738327,2038895.1667349264
2026-01-22,1583422.4620077605,2056567.7951247778
